	Ashcliff	Crimean Mountains	Battle of Ashcliff	Captain Vladislav Melnyk	The Camelot Unit	Aliens	MK-417	Ashcliff Memorial	Letter
(סוג)	html	video	html	html	html	html	html	html	html
title	Ashcliff	Crimean Mountains	Battle of Ashcliff	Captain Vladislav Melnyk	The Camelot Unit	Aliens	MK-417	Ashcliff Memorial	Letters from Captain Melnyk
date			2073	2041	2073	2072	2072		
tag	ashcliff	ashcliff	ashcliff	melnyk	camelot	aliens	mk-417	memorial	letter
	war	crimea	war	captain	melnyk	war	aliens	museum	letters
	battle	mountains	battle	camelot	war	ashcliff	camelot	melnyk	
		mountain	melnyk			mk-417			
			camelot						
			aliens						
